Type,Days for shipping (real),Days for shipment (scheduled),Benefit per order,Sales per customer,Delivery Status,Late_delivery_risk,Category Id,Category Name,Customer City,Customer Country,Customer Email,Customer Fname,Customer Id,Customer Lname,Customer Password,Customer Segment,Customer State,Customer Street,Customer Zipcode,Department Id,Department Name,Latitude,Longitude,Market,Order City,Order Country,Order Customer Id,order date (DateOrders),Order Id,Order Item Cardprod Id,Order Item Discount,Order Item Discount Rate,Order Item Id,Order Item Product Price,Order Item Profit Ratio,Order Item Quantity,Sales,Order Item Total,Order Profit Per Order,Order Region,Order State,Order Status,Order Zipcode,Product Card Id,Product Category Id,Product Description,Product Image,Product Name,Product Price,Product Status,shipping date (DateOrders),Shipping Mode
DEBIT,2,4,43.61000061,436.1000061,Advance shipping,0,66,Crafts,New York,EE. UU.,XXXXXXXXX,Rana,18349,Moreno,XXXXXXXXX,Corporate,NY,2275 Rustic Impasse,10016.0,4,Apparel,40.74559021,-73.97927856,Pacific Asia,Shenzhen,China,18349,12/27/2017 20:01,74796,1353,25.37999916,0.059999999,178111,461.480011,0.100000001,1,461.480011,436.1000061,43.61000061,Eastern Asia,Guangdong,COMPLETE,,1353,66,,http://images.acmesports.sports/Porcelain+crafts,Porcelain crafts,461.480011,0,12/29/2017 20:01,Standard Class
DEBIT,4,4,72.86000061,200.7100067,Shipping on time,0,76,Women's Clothing,Houston,EE. UU.,XXXXXXXXX,Freya,17446,Golden,XXXXXXXXX,Corporate,TX,569 Hazy Wynd,77088.0,4,Apparel,29.66958237,-95.24147034,Pacific Asia,Lianyuan,China,17446,12/14/2017 15:39,73893,1363,15.10999966,0.07,177208,215.8200073,0.360000014,1,215.8200073,200.7100067,72.86000061,Eastern Asia,Hunan,COMPLETE,,1363,76,,http://images.acmesports.sports/Summer+dresses,Summer dresses,215.8200073,0,12/18/2017 15:39,Standard Class
DEBIT,5,4,-140.5,200.7100067,Late delivery,1,76,Women's Clothing,Placentia,EE. UU.,XXXXXXXXX,Patience,17392,Ward,XXXXXXXXX,Corporate,CA,7126 Hazy Berry Mount,92870.0,4,Apparel,33.99459839,-117.9534302,Pacific Asia,Vadodara,India,17392,12/13/2017 20:44,73839,1363,15.10999966,0.07,177154,215.8200073,-0.699999988,1,215.8200073,200.7100067,-140.5,South Asia,Guyarat,COMPLETE,,1363,76,,http://images.acmesports.sports/Summer+dresses,Summer dresses,215.8200073,0,12/18/2017 20:44,Standard Class
DEBIT,4,4,37.77000046,429.1799927,Shipping on time,0,66,Crafts,San Jose,EE. UU.,XXXXXXXXX,Cheryl,18276,Koch,XXXXXXXXX,Corporate,CA,4845 Thunder Embers Hollow,95148.0,4,Apparel,37.32554245,-121.7993469,Pacific Asia,Semarang,Indonesia,18276,12/26/2017 18:26,74723,1353,32.29999924,0.07,178038,461.480011,0.090000004,1,461.480011,429.1799927,37.77000046,Southeast Asia,Java Central,COMPLETE,,1353,66,,http://images.acmesports.sports/Porcelain+crafts,Porcelain crafts,461.480011,0,12/30/2017 18:26,Standard Class
DEBIT,5,4,40.61999893,324.9599915,Late delivery,1,63,Children's Clothing,Baltimore,EE. UU.,XXXXXXXXX,Audra,18007,Weber,XXXXXXXXX,Corporate,MD,6651 Quaking Highlands,21218.0,4,Apparel,39.32117081,-76.61475372,Pacific Asia,Vijayawada,India,18007,12/22/2017 20:12,74454,1350,32.13999939,0.090000004,177769,357.1000061,0.129999995,1,357.1000061,324.9599915,40.61999893,South Asia,Andhra Pradesh,COMPLETE,,1350,63,,http://images.acmesports.sports/Children+heaters,Children's heaters,357.1000061,0,12/27/2017 20:12,Standard Class
DEBIT,5,4,16.70000076,51.40000153,Late delivery,1,60,Baby ,Spring Valley,EE. UU.,XXXXXXXXX,Jacqueline,17747,Bauer,XXXXXXXXX,Corporate,NY,3238 Pleasant Leaf Thicket,10977.0,4,Apparel,42.33480835,-74.93064117,Pacific Asia,Mangalore,India,17747,12/19/2017 01:06,74194,1347,7.679999828,0.129999995,177509,59.08000183,0.330000013,1,59.08000183,51.40000153,16.70000076,South Asia,Karnataka,COMPLETE,,1347,60,,http://images.acmesports.sports/Baby+sweater,Baby sweater,59.08000183,0,12/24/2017 1:06,Standard Class
DEBIT,2,4,-201.9400024,310.6799927,Advance shipping,0,63,Children's Clothing,Chicago,EE. UU.,XXXXXXXXX,Delilah,18004,Church,XXXXXXXXX,Corporate,IL,7829 Easy Estates,60643.0,4,Apparel,41.52561569,-88.40119934,Pacific Asia,Kendari,Indonesia,18004,12/22/2017 19:09,74451,1350,46.41999817,0.129999995,177766,357.1000061,-0.649999976,1,357.1000061,310.6799927,-201.9400024,Southeast Asia,Célebes Suroriental,COMPLETE,,1350,63,,http://images.acmesports.sports/Children+heaters,Children's heaters,357.1000061,0,12/24/2017 19:09,Standard Class
DEBIT,2,4,49.52999878,183.4499969,Advance shipping,0,76,Women's Clothing,Newburgh,EE. UU.,XXXXXXXXX,Tatyana,17459,Vasquez,XXXXXXXXX,Corporate,NY,4791 Heather Cider Orchard,12550.0,4,Apparel,41.50205994,-74.01177216,Pacific Asia,Tianjin,China,17459,12/14/2017 20:12,73906,1363,32.36999893,0.150000006,177221,215.8200073,0.270000011,1,215.8200073,183.4499969,49.52999878,Eastern Asia,Tianjin,COMPLETE,,1363,76,,http://images.acmesports.sports/Summer+dresses,Summer dresses,215.8200073,0,12/16/2017 20:12,Standard Class
DEBIT,4,4,-38.52000046,50.22000122,Shipping on time,0,60,Baby ,Milpitas,EE. UU.,XXXXXXXXX,Roanna,17746,Combs,XXXXXXXXX,Corporate,CA,1230 Crystal Lookout,95035.0,4,Apparel,37.44713593,-121.9091797,Pacific Asia,Mangalore,India,17746,12/19/2017 00:45,74193,1347,8.859999657,0.150000006,177508,59.08000183,-0.769999981,1,59.08000183,50.22000122,-38.52000046,South Asia,Karnataka,COMPLETE,,1347,60,,http://images.acmesports.sports/Baby+sweater,Baby sweater,59.08000183,0,12/23/2017 0:45,Standard Class
PAYMENT,2,4,157.3200073,327.75,Advance shipping,0,73,Sporting Goods,Gilroy,EE. UU.,XXXXXXXXX,Quyn,16774,Mckinney,XXXXXXXXX,Consumer,CA,9666 Colonial Hickory Thicket,95020.0,2,Fitness,37.01370621,-121.5893478,Pacific Asia,Patna,India,16774,12/04/2017 20:13,73221,1360,0.0,0.0,176536,327.75,0.479999989,1,327.75,327.75,157.3200073,South Asia,Bihar,PENDING_PAYMENT,,1360,73,,http://images.acmesports.sports/Smart+watch ,Smart watch ,327.75,0,12/6/2017 20:13,Standard Class
